鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
北投區,房地(土地+建物),臺北市北投區中央北路四段１３８巷１號二樓,20.91,住,,,1130416,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730809,101.55000000000001,3,2,2,有,無,11800000,116199,,0.0,0,其他增建；,RPQNMLRKMHJGFEA97DA,84.06,0.0,9.98,無,
士林區,房地(土地+建物),臺北市士林區劍潭路１６號七樓之３,9.47,商,,,1130415,土地2建物1車位0,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971226,57.32000000000001,1,1,1,有,有,17600000,307048,,0.0,0,,RPWOMLTKMHJGFEA88DA,33.54,1.44,2.54,有,
士林區,房地(土地+建物),臺北市士林區德行東路３５８巷１４弄２號四樓,54.24,住,,,1130415,土地1建物1車位0,四層，五層，夾層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770423,180.24,3,3,3,有,有,23000000,127608,,0.0,0,陽台外推；夾層；其他增建；,RPPOMLMLMHJGFEA57DA,139.51,13.32,11.69,無,
士林區,房地(土地+建物),臺北市士林區文林路７６５號六樓之９,14.81,住,,,1130412,土地1建物1車位0,六層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0700204,127.86,4,1,4,有,有,26000000,203347,,0.0,0,陽台外推；其他增建；,RPTOMLTLMHJGFEA68DA,93.86,0.0,15.73,有,
士林區,車位,臺北市士林區德行西路３６號地下二、三、四層,0.05,住,,,1130429,土地3建物1車位1,地下二層,十三層,其他,停車空間,鋼筋混凝土造,0970502,35.239999999999995,0,0,0,無,有,2600000,,坡道平面,35.25,2600000,僅車位交易；,RPVOMLQJNHJGFEA48DA,0.0,0.0,0.0,有,055
北投區,房地(土地+建物)+車位,臺北市北投區大業路５２２號十四樓,16.72,商,,,1130423,土地2建物1車位1,十四層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1121011,188.98000000000002,3,2,2,有,有,32500000,171976,坡道平面,38.18,0,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLPKNHJGFEA08DA,89.88,8.97,8.13,有,056
北投區,房地(土地+建物),臺北市北投區永興路一段２之１８號三樓,17.5,住,,,1130410,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0970625,72.54,1,1,1,有,無,14200000,195754,,0.0,0,陽台外推；,RPXOMLRKNHJGFEA88DA,45.25,3.78,2.49,有,057
大安區,房地(土地+建物),臺北市大安區忠孝東路三段２５１巷９弄１號四樓,39.75,住,,,1130418,土地1建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0620615,103.19,3,2,2,有,無,33680000,326388,,0.0,0,陽台外推；頂樓加蓋；其他增建；,RPOOMLSJNHJGFFA08DA,103.19,0.0,0.0,無,058
大安區,房地(土地+建物),臺北市大安區仁愛路四段１２２巷６３號九樓之２,8.15,商,,,1130428,土地2建物1車位0,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0720816,81.92999999999999,3,2,1,有,有,29680000,362260,,0.0,0,,RPVNMLOKNHJGFFA38DA,65.66,0.0,2.16,有,
文山區,土地,老泉段二小段384地號,2837.0,都市：其他:保護區。,,,1130401,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,13000000,4582,,0.0,0,地上物即資材室及鴿舍未登記建物；農作物；,RPQNMLKLNHJGFAA17EA,0.0,0.0,0.0,無,
中山區,建物,臺北市中山區八德路二段１４１號,0.0,,,,1130415,土地0建物1車位0,全,二層,透天厝,住家用,磚造,,53.72,0,0,0,無,無,3333999,62063,,0.0,0,建物坐落地號：長安段二小段328-2地號；政府機關標讓售；,RPPNMLPKNHJGFCA67EA,53.72,0.0,0.0,無,
中山區,房地(土地+建物),臺北市中山區新生北路二段１３７巷３９號四樓,26.25,住,,,1130424,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0570614,73.38,2,1,1,有,無,12500000,170346,,0.0,0,,RPRNMLKLNHJGFCA47EA,73.38,0.0,0.0,無,
中山區,房地(土地+建物),臺北市中山區新生北路二段１３７巷３９號三樓,26.25,住,,,1130424,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0570614,73.38,2,1,1,有,無,12500000,170346,,0.0,0,,RPSNMLKLNHJGFCA57EA,73.38,0.0,0.0,無,
南港區,房地(土地+建物)+車位,臺北市南港區東新街９６號八樓,19.69,商,,,1130419,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000531,166.65,3,2,2,有,有,33000000,198020,坡道平面,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLKLNHJGFDA47EA,81.79,7.2,10.6,有,
