鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
汐止區,房地(土地+建物),新北市汐止區新台五路二段２３８巷８３號十一樓,16.17,住,,,1121029,土地2建物1車位0,十一層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1130206,89.98,2,2,1,有,有,11450000,127251,,0.0,0,E區沐樂公設價格已包含在總價內：66000元讓渡日/指定登記配偶日：無    讓渡價格：無 元第一次測量後因面積修正而總價找補，金額：39612元預售屋、或土地及建物分件登記案件；,RPVOMLMLNHJGFDF78EA,53.49,3.23,2.82,有,
汐止區,房地(土地+建物)+車位,新北市汐止區新台五路二段２３８巷８５號十一樓,15.69,住,,,1121026,土地2建物1車位1,十一層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1130206,124.19,2,2,1,有,有,13500000,127498,坡道平面,37.13,2400000,E區沐樂公設價格已包含在總價內：64000元讓渡日/指定登記配偶日：無    讓渡價格：無 元第一次測量後因面積修正而總價找補，金額：27773元預售屋、或土地及建物分件登記案件；,RPWOMLMLNHJGFDF88EA,51.74,3.15,2.82,有,
汐止區,房地(土地+建物)+車位,新北市汐止區新台五路二段２３８巷８７號十一樓,15.69,住,,,1121028,土地2建物1車位1,十一層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1130206,124.19,2,2,1,有,有,13250000,123478,坡道平面,37.13,2500000,E區沐樂公設價格已包含在總價內：64000元讓渡日/指定登記配偶日：無    讓渡價格：無 元第一次測量後因面積修正而總價找補，金額：26893元預售屋、或土地及建物分件登記案件；,RPXOMLMLNHJGFDF98EA,51.74,3.15,2.82,有,
新莊區,房地(土地+建物)+車位,新北市新莊區中央路２３９號,57.16,商,,,1120915,土地1建物1車位3,一層,二十層,住宅大樓(11層含以上有電梯),商業用,鋼骨鋼筋混凝土造,1120901,544.77,0,0,0,無,有,235110000,483999,坡道平面,75.12,7800000,,RPXNMLRKNHJGFBF98DA,299.48,0.0,0.0,有,
新店區,土地,小城段804地號,84.25,都市：其他:已開發建築密集地區,,,1120920,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4586000,54433,,0.0,0,,RPTNMLQJNHJGFCF48DA,0.0,0.0,0.0,無,
汐止區,房地(土地+建物)+車位,新北市汐止區新台五路二段２３８巷４９號九樓,15.81,住,,,1120909,土地2建物1車位1,九層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1130206,124.82999999999998,2,2,1,有,有,13500000,123717,坡道平面,37.13,2650000,E區沐樂公設價格已包含在總價內：66000元讓渡日/指定登記配偶日：無    讓渡價格：無 元第一次測量後因面積修正而總價找補，金額：520元預售屋、或土地及建物分件登記案件；,RPPPMLMLNHJGFDF28EA,52.11,3.15,2.86,有,
汐止區,房地(土地+建物),新北市汐止區新台五路二段２３８巷６１號十一樓,15.45,住,,,1120917,土地2建物1車位0,十一層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1130206,85.85,2,2,1,有,有,10850000,126398,,0.0,0,E區沐樂公設價格已包含在總價內：64000元讓渡日/指定登記配偶日：無    讓渡價格：無 元第一次測量後因面積修正而總價找補，金額：4666元預售屋、或土地及建物分件登記案件；,RPQQMLMLNHJGFDF48EA,50.95,3.15,2.82,有,
淡水區,房地(土地+建物)+車位,新北市淡水區義山路一段３９５之２號五樓,16.03,住,,,1120814,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1121228,120.64,2,2,2,有,有,10080000,99226,坡道平面,36.69,1750000,預售屋、或土地及建物分件登記案件；,RPQQMLTJNHJGFEF98DA,51.11,0.0,4.72,有,
泰山區,房地(土地+建物)+車位,新北市泰山區信華六街２０號十七樓,28.16,住,,,1120830,土地2建物1車位1,十七層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020812,176.89,3,2,2,有,有,25150000,142179,坡道平面,33.77,0,,RPRNMLLMJHJGFBF57DA,87.69,1.2,8.64,有,0684
樹林區,房地(土地+建物)+車位,新北市樹林區學林路９９號,34.72,住,,,1120814,土地1建物1車位1,一層，見其他登記事項,七層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,1130123,172.31,0,0,0,無,有,32600000,247370,坡道平面,47.8,1800000,預售屋、或土地及建物分件登記案件；,RPPNMLNKNHJGFIF48DA,73.0,0.0,9.61,有,
新莊區,房地(土地+建物)+車位,新北市新莊區新泰路９０號十七樓之一,12.7,住,,,1120825,土地1建物1車位2,十七層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1110721,171.26999999999998,3,2,2,有,有,22650000,139233,坡道平面,38.04,4100000,合建案建商與地主間之交易；,RPXPMLTLMHJGFBF76DA,63.58,13.14,6.64,有,
新莊區,房地(土地+建物)+車位,新北市新莊區新泰路９０號十七樓之六,12.7,住,,,1120825,土地1建物1車位2,十七層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1110721,173.88,3,2,2,有,有,22610000,138933,坡道平面,40.65,4100000,合建案建商與地主間之交易；,RPOQMLTLMHJGFBF58DA,63.58,13.14,6.64,有,
汐止區,房地(土地+建物),新北市汐止區新台五路二段２３８巷５９號十一樓,15.45,住,,,1120819,土地2建物1車位0,十一層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1130206,85.85,2,2,1,有,有,10680000,124418,,0.0,0,E區沐樂公設價格已包含在總價內：64000元讓渡日/指定登記配偶日：無    讓渡價格：無 元第一次測量後因面積修正而總價找補，金額：4614元預售屋、或土地及建物分件登記案件；,RPOQMLMLNHJGFDF28EA,50.95,3.15,2.82,有,
新莊區,房地(土地+建物)+車位,新北市新莊區新泰路９０號十五樓之八,7.58,住,,,1120725,土地1建物1車位1,十五層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1110721,98.44999999999999,2,2,1,有,有,18710000,207856,坡道平面,19.02,2200000,,RPTQMLTLMHJGFBF09DA,43.44,4.86,1.42,有,
中和區,房地(土地+建物)+車位,新北市中和區新民街３５號六樓,64.04,工,,,1120714,土地1建物1車位3,六層,十層,華廈(10層含以下有電梯),工業用,鋼筋混凝土構造,1130109,382.81,0,0,0,無,有,48890000,143277,坡道平面,83.04,5940000,預售屋、或土地及建物分件登記案件；,RPRPMLTLLHJGFHF66DA,173.76,0.0,0.0,有,
板橋區,房地(土地+建物)+車位,新北市板橋區華江一路１１７號十七樓之５,13.83,商,,,1120716,土地1建物1車位1,十七層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1120908,192.21,4,2,2,有,有,33000000,187161,坡道平面,30.05,2650000,,RPQTMLKLNHJGFAF18DA,92.18,7.26,7.9,有,0685
汐止區,房地(土地+建物),新北市汐止區新台五路二段２３８巷４９號四樓,15.81,住,,,1120715,土地2建物1車位0,四層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1130206,87.69999999999999,2,2,1,有,有,10600000,120880,,0.0,0,E區沐樂公設價格已包含在總價內：66000元讓渡日/指定登記配偶日：無    讓渡價格：無 元第一次測量後因面積修正而總價找補，金額：508元預售屋、或土地及建物分件登記案件；,RPPOMLMLNHJGFDF18EA,52.11,3.15,2.86,有,
八里區,房地(土地+建物)+車位,新北市八里區中山路三段９５號九樓,27.51,住,,,1120716,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1121011,164.68,3,2,3,有,有,13150000,84482,坡道平面,29.74,1750000,,RPPNMLTLNHJGFEF78DA,82.79,0.0,4.66,有,
